PN,ASSIGNEE,value
9588117,"Berkeley Lights, Inc.",27432
9617145,"Berkeley Lights, Inc.",27433
6720710,"Berkeley Microinstruments, Inc.",24597
5888830,"Berlex Laboratories, Inc.",17491
6274091,"Berlex Laboratories, Inc.",21910
5965264,"Bernard Technologies, Inc.",18157
5198493,Berol Nobel AB,8346
5219926,Berol Nobel AB,8620
5250613,Berol Nobel AB,8931
8834010,Bertin Technologies,12933
7954741,Bertin Technologies,28223
6790611,Besst-Test APS,2052
9084981,Beta Renewables S.p.A.,29014
8394277,Beta Renewables S.p.A.,29013
7955805,Beth Israel Deaconess Medical Center,15740
6187534,Beth Israel Deaconess Medical Center,20842
9925261,Beth Israel Deaconess Medical Center,15741
9828637,Beth Israel Deaconess Medical Center,18376
6900015,Beth Israel Deaconess Medical Center,20843
7344892,Beth Israel Deaconess Medical Center,26665
7347995,Beth Israel Deaconess Medical Center,26669
7553631,Beth Israel Deaconess Medical Center,27301
8568969,Beth Israel Deaconess Medical Center,27302
9052308,Beth Israel Deaconess Medical Center,27642
9329190,Beth Israel Deaconess Medical Center,27643
9606131,Beth Israel Deaconess Medical Center,27644
9671414,Beth Israel Deaconess Medical Center,27646
7993927,Beth Israel Deaconess Medical Center,27798
8329175,Beth Israel Deaconess Medical Center,28887
5856196,Beth Israel Hospital,16981
8568980,Beth Israel Medical Center,29297
9322064,Beth Israel Medical Center,30076
9328192,"Bezwada Biomedial, LLC",4692
8901341,"Bezwada Biomedial, LLC",29711
9274126,"BG Medicine, Inc.",19931
8068987,"BG Medicine, Inc.",20932
8597937,BG Research Ltd,29336
9547748,"BGI HEALTH SERVICE CO., LTD.",27954
9493821,"BGI TECH SOLUTIONS CO., LTD.",28312
6736973,BIA Separations d.o.o.,6616
6664305,BIA Separations d.o.o.,12286
7105356,Biacore AB,403
6775003,Biacore AB,6647
7012694,Biacore AB,6648
6503760,Biacore AB,8823
6844201,Biacore AB,8824
6808938,Biacore AB,8857
6698454,Biacore AB,9562
6988317,Biacore AB,9568
5965456,Biacore AB,18204
5972612,Biacore AB,18254
6008893,Biacore AB,18805
7320879,Biacore AB,19837
6143513,Biacore AB,20337
6143574,Biacore AB,20340
6200814,Biacore AB,20998
6207381,Biacore AB,21051
6289286,Biacore AB,22115
6493097,Biacore AB,23406
6714303,Biacore AB,23407
6999175,Biacore AB,23409
9658168,Biametrics GmbH,13887
9733063,Biametrics GmbH,18687
10076755,Biametrics GmbH,25197
8174708,Biametrics Maken und Rechte GmbH,25191
9370774,Bigtec Private Limited,19376
6264814,Bilatec Gesellschaft zur Entwicklung,21741
6355425,"Billups-Rothenberg, Inc.",17394
6955875,"Billups-Rothenberg, Inc.",17395
7358099,"Binax, Inc.",1321
7718375,"Binax, Inc.",5996
9295649,"BIND Therapeutics, Inc.",12622
5223225,BIO 101,8638
7615345,Bio Array Solutions Ltd.,2978
7335153,Bio Array Solutions Ltd.,4078
7582488,Bio Array Solutions Ltd.,13062
7625765,Bio Array Solutions Ltd.,20335
7358097,Bio Array Solutions Ltd.,21362
7262063,Bio Array Solutions Ltd.,20334
5679399,"Bio Barrier, Inc.",14664
5965276,"Bio Barrier, Inc.",18158
6416652,"Bio Chem Technology, Inc.",711
6478938,Bio Digit Laboratories Corporation,17018
7208091,Bio Gasol IPR APS,3367
5609828,"bio M erieux Vitek, Inc.",13602
6458553,Bio Merieux,1414
6866838,Bio Merieux,1552
7001589,Bio Merieux,1553
6582703,Bio Merieux,3428
8043559,Bio Merieux,4064
7338805,Bio Merieux,4101
6489114,Affymetrix Inc,5101
6902891,Bio Merieux,5103
7217457,Bio Merieux,5956
6933110,Bio Merieux,9439
5439972,Bio Merieux,11178
6632615,Bio Merieux,11180
5489653,Bio Merieux,11951
6660533,Bio Merieux,11974
5536645,Bio Merieux,12547
7259021,Bio Merieux,12767
5650318,Bio Merieux,14252
5656432,Bio Merieux,14320
5703217,Bio Merieux,14999
5723344,Bio Merieux,15263
5728540,Bio Merieux,15303
5776691,Bio Merieux,15911
5786147,Bio Merieux,16054
5849901,Bio Merieux,16892
5876954,Bio Merieux,17374
5902746,Bio Merieux,17609
5976791,Bio Merieux,18306
6037122,Bio Merieux,19177
6096825,Bio Merieux,19817
6133047,Bio Merieux,20200
7001572,Bio Merieux,20266
6201086,Bio Merieux,21001
6218116,Bio Merieux,21166
6270953,Bio Merieux,21851
6291225,Bio Merieux,22147
6521341,Bio Merieux,23547
6660472,Bio Merieux,24310
6235479,"bio Merieux, Inc.",21418
9650662,"bio Merieux, S.A.",30235
5355439,Bio Tek Instruments,10154
8541187,"Bio Tracking, LLC",10837
4695430,Bio/Data Corporation,3361
8337876,"Bio2 Technologies, Inc.",11550
8652368,"Bio2 Technologies, Inc.",11551
8673016,"Bio2 Technologies, Inc.",11552
8790682,"Bio2 Technologies, Inc.",11553
9968463,"Bio2 Technologies, Inc.",29408
8877509,"bioAffinity Technologies, Inc.",22478
9066698,Bioanalytical Systems Inc.,12843
8932234,Bioanalytical Systems Inc.,12330
9726583,Bioanalytical Systems Inc.,12333
8404459,BioArctic Neuroscience AB,13497
8632776,BioArctic Neuroscience AB,29390
8968734,BioArctic Neuroscience AB,29391
6468811,Bioarray Solutions,2965
6514771,Bioarray Solutions,2966
6387707,Bioarray Solutions,12062
6797524,Bioarray Solutions,2967
6955751,Bioarray Solutions,2968
6958245,Bioarray Solutions,2969
6991941,Bioarray Solutions,2970
7041510,Bioarray Solutions,2971
7056746,Bioarray Solutions,2972
7057704,Bioarray Solutions,2973
7090759,Bioarray Solutions,2974
7144119,Bioarray Solutions,2975
7291504,Bioarray Solutions,2976
7427512,Bioarray Solutions,2977
10138511,Bioarray Solutions,4086
7618792,Bioarray Solutions,4677
7314718,Bioarray Solutions,8229
7083914,Bioarray Solutions,9424
7595279,Bioarray Solutions,13634
7390676,Bioarray Solutions,17342
7118900,Bioarray Solutions,20333
7604718,Bioarray Solutions,21565
7041453,Bioarray Solutions,25762
7049077,Bioarray Solutions,25786
7320864,Bioarray Solutions,26584
7526114,Bioarray Solutions,27211
7574305,Bioarray Solutions,27345
7888053,Bioarray Solutions,4678
6251691,Bioarray Solutions,21591
8039271,Bioarray Solutions,2982
8071393,Bioarray Solutions,2983
8124402,Bioarray Solutions,2984
8309368,Bioarray Solutions,2986
8486629,Bioarray Solutions,2988
8486720,Bioarray Solutions,2989
8615367,Bioarray Solutions,2990
8691594,Bioarray Solutions,2991
8691754,Bioarray Solutions,2992
8712123,Bioarray Solutions,2993
8795960,Bioarray Solutions,2995
9147037,Bioarray Solutions,2996
9251583,Bioarray Solutions,2998
9400259,Bioarray Solutions,2999
9436088,Bioarray Solutions,3000
9637777,Bioarray Solutions,3001
9709559,Bioarray Solutions,3002
7842649,Bioarray Solutions,4079
9611507,Bioarray Solutions,4083
7892854,Bioarray Solutions,10565
7977050,Bioarray Solutions,12260
7848889,Bioarray Solutions,16667
7156315,Bioarray Solutions,21360
8084274,Bioarray Solutions,21363
8999731,Bioarray Solutions,21364
7940968,Bioarray Solutions,25366
9928587,Bioarray Solutions,25367
7932022,Bioarray Solutions,25763
7790380,Bioarray Solutions,25787
7732575,Bioarray Solutions,27711
8709755,"BioAtla, LLC",29497
9464284,"BioAtla, LLC",29498
9637735,"BioAtla, LLC",29499
5700370,BioBalance A/S,14904
6870165,"Biocal Technology, Inc.",2669
6828567,"Biocal Technology, Inc.",9745
6929779,"Biocal Technology, Inc.",9747
6932940,"Biocal Technology, Inc.",9748
7208072,"Biocal Technology, Inc.",9752
7309409,"Biocal Technology, Inc.",9754
7622083,"Biocal Technology, Inc.",10785
6529275,"Biocal Technology, Inc.",23595
4851338,Biocarb AB,4930
6580056,BioCare Medical,22944
8765476,BioCare Medical,2915
9442049,BioCare Medical,2916
9945763,BioCare Medical,2917
9417243,BioCare Medical,3333
9428576,BioCare Medical,3334
9429577,BioCare Medical,3335
9708395,BioCare Medical,3336
9816997,BioCare Medical,3337
9823251,BioCare Medical,3338
8852592,BioCare Medical,29642
8501434,"Biocare, LLC",2914
9079182,BIOCARTIS N.V.,6509
9522398,BIOCARTIS N.V.,8653
9044752,BIOCARTIS N.V.,17119
8441629,Biocartis SA,6507
5885767,"BioCatalytics, Inc.",17445
6911344,"BioCentrex, LLC",4970
7217520,"Biocept, Inc.",2241
7172866,"Biocept, Inc.",4327
7595157,"Biocept, Inc.",4328
7638464,"Biocept, Inc.",4329
9347946,"Biocept, Inc.",4388
7695956,"Biocept, Inc.",9470
8158410,"Biocept, Inc.",9474
9212977,"Biocept, Inc.",9478
7198901,"Biocept, Inc.",10816
9040255,"Biocept, Inc.",11451
7238521,"Biocept, Inc.",17646
6174683,"Biocept, Inc.",20719
9128082,"Biocept, Inc.",28366
9671407,"Biocept, Inc.",28367
6773894,"Biochain Institute, Inc.",1919
6265164,"Biochain Institute, Inc.",21753
6723514,"Biochaiv Institute, Inc.",21754
6274087,BioChem Immunosystems Inc.,21909
4803365,BioChem Technology,4429
5401412,BioChem Technology,10583
5552319,BioChem Technology,12748
5698412,BioChem Technology,14886
5856119,BioChem Technology,16976
5087952,Biocircuits Corporation,7216
5156810,Biocircuits Corporation,7977
5268305,Biocircuits Corporation,9090
5342692,Biocircuits Corporation,9990
5415999,Biocircuits Corporation,10787
5427915,Biocircuits Corporation,11019
5491097,Biocircuits Corporation,11962
5571568,Biocircuits Corporation,13017
5618735,Biocircuits Corporation,13714
5622872,Biocircuits Corporation,13769
9181588,"Bioclassifier, LLC",29977
6673453,Biocoat Incorporated,16616
5776713,Biocode Ltd.,15922
5710005,Biocode Ltd.,15079
5942444,Biocode Ltd.,17932
6068981,Biocode Ltd.,19518
6140134,Biocode Ltd.,20287
6143577,Biocom S.A.,20344
5976892,Biocom S.A.,18326
9638696,Biocon Limited,25186
8475787,Bio-Control Limited,25150
5658747,"BioControl System, Inc.",14365
8084271,"BioControl System, Inc.",136
8247204,"BioControl System, Inc.",139
6509168,"BioControl System, Inc.",668
7122338,"BioControl System, Inc.",669
7560246,"BioControl System, Inc.",684
6863866,"BioControl System, Inc.",3403
7030403,"BioControl System, Inc.",3406
9446406,"BioControl System, Inc.",3419
4868110,"BioControl System, Inc.",5136
6379918,"BioControl System, Inc.",16307
9012201,"BioControl System, Inc.",16568
6287797,"BioControl System, Inc.",22086
7635558,Biocortech,11917
6503745,"Biocryst Pharmaceuticals, Inc.",23464
6576155,"Biocrystal, Ltd.",18559
6762032,"Biocrystal, Ltd.",22901
6723814,"BioCure, Inc.",3073
5656428,"Biode, Inc.",14319
6835764,Bio-Deg. Moulding Pty Ltd,18150
6592894,"BioDelivery Sciences International, Inc.",3092
6153217,"Biodelivery Sciences, Inc.",20439
9279798,"Biodesix, Inc.",30051
9606101,"Biodesix, Inc.",30052
10007766,"Biodesix, Inc.",30053
9383361,"Biodesy, Inc.",7989
9395358,"Biodesy, Inc.",7990
9989534,"Biodesy, Inc.",7996
8497073,"Biodesy, Inc.",7987
7300802,Biodigit Laboratories Corp.,14209
8673563,"Bio-Dixam, LLC",29437
7736591,"Biodot, Inc.",1457
8920752,"Biodot, Inc.",5318
7754439,"Accupath Diagnostic Laboratories, Inc.",6771
8323882,"Accupath Diagnostic Laboratories, Inc.",6773
8940478,"Accupath Diagnostic Laboratories, Inc.",6776
9415369,"Accupath Diagnostic Laboratories, Inc.",6777
8921063,"BioDtech, Inc.",2260
7846678,"BioDtech, Inc.",24590
8349570,"BioDtech, Inc.",24592
7410802,"BioE, Inc.",5153
5863650,"BioEngineered Materials, Inc.",17089
8252236,"Arkray, Inc.",5987
8641972,"Arkray, Inc.",5989
8642344,"Arkray, Inc.",5990
6383740,"BioErgonomics, Inc.",5151
6642016,Bioett AB,10416
8338129,Biofilm Control,28228
9586208,"BioFire Defense, LLC",17121
8394608,"BioFire Diagnostics, Inc.",17361
8940526,"BioFire Diagnostics, Inc.",17363
10058868,"BioFire Diagnostics, Inc.",17364
8895295,"BioFire Diagnostics, Inc.",20323
9102911,"BioFire Diagnostics, Inc.",20324
10053728,"BioFire Diagnostics, Inc.",20328
6573369,"BioForce Nanosciences, Inc.",3703
6897015,"BioForce Nanosciences, Inc.",3716
6998228,"BioForce Nanosciences, Inc.",3718
7008769,"BioForce Nanosciences, Inc.",3720
7344832,"BioForce Nanosciences, Inc.",3726
7690325,"BioForce Nanosciences, Inc.",11213
6670121,Biofrontera Pharmaceuticals GmbH,24343
7452515,"Biofuels Allied, Inc.",26994
10228307,"Biofunctions, Inc.",29557
7195750,Biogen IDEC Inc.,23216
8048635,Albert Einstein College of Medicine of Yeshiva University,28445
8124350,Biogen Idec MA Inc.,28587
8871449,Biogen Idec MA Inc.,28588
8202698,Biogen Idec MA Inc.,28697
8318416,Biogen Idec MA Inc.,28860
9212379,Biogen Idec MA Inc.,28861
8415111,Biogen Idec MA Inc.,29069
8685657,Biogen Idec MA Inc.,29456
9316641,Biogen MA Inc.,2351
9377458,Biogen MA Inc.,2353
10119976,Biogen MA Inc.,2358
9730947,"Albert Einstein College of Medicine, Inc.",28446
9709575,Biogen MA Inc.,28589
9097726,Biogen MA Inc.,28698
6632598,BioGenex Laboratories,10004
7070951,BioGenex Laboratories,24182
9551635,BioGenex Laboratories,19347
10168257,BioGenex Laboratories,19348
9388046,"Biogenic Reagent Ventures, LLC",30121
8685648,BioHelix Corporation,9736
7358062,Biohit Oyj,25112
6790652,BioImage A/S,15632
6518021,BioImage A/S,18090
6924107,Ben Hui Liu,12943
4635790,Bio-Innovations,2907
4635791,Bio-Innovations,2910
8183033,Bioinnovations Oy,15226
9682174,"BioInspire Technologies, Inc.",29559
10159768,"BioInspire Technologies, Inc.",29560
9271925,"BioInspire Technologies, Inc.",30042
7655038,BioInteractions Ltd.,21341
6989250,Bioinvent International AB,16637
7432083,Bioinvent International AB,16639
9133567,Bioinventors & Entrepreneurs Network LLC,25911
10208347,Bioinventors & Entrepreneurs Network LLC,29945
7700727,"Biokit, S.A.",3837
10041031,"Biol Systems Co., Ltd.",28576
8506769,"Biolan Microbiosensores, S.L.",1901
7881871,Bio-Layer Pty Limited,10439
8273403,Bio-Layer Pty Limited,10440
9125397,"BioLife Solutions, Inc.",22747
7776601,Biolog,27803
6436631,"Biolog, Inc.",1569
6696239,"Biolog, Inc.",1571
5589350,"Biolog, Inc.",13260
5800785,"Biolog, Inc.",16201
9034579,"BIOLOGICAL DYNAMICS, INC",13927
8603791,"BIOLOGICAL DYNAMICS, INC",13918
8815554,"BIOLOGICAL DYNAMICS, INC",13919
8815555,"BIOLOGICAL DYNAMICS, INC",13920
8871481,"BIOLOGICAL DYNAMICS, INC",13921
8877470,"BIOLOGICAL DYNAMICS, INC",13922
8932815,"BIOLOGICAL DYNAMICS, INC",13923
8969059,"BIOLOGICAL DYNAMICS, INC",13924
9005941,"BIOLOGICAL DYNAMICS, INC",13925
9034578,"BIOLOGICAL DYNAMICS, INC",13926
9206416,"BIOLOGICAL DYNAMICS, INC",13928
9499812,"BIOLOGICAL DYNAMICS, INC",13929
9827565,"BIOLOGICAL DYNAMICS, INC",13930
10006083,"BIOLOGICAL DYNAMICS, INC",13931
10232369,"BIOLOGICAL DYNAMICS, INC",13932
5140855,"Biological Monitoring, Inc.",7827
5307052,"Biological Monitoring, Inc.",9502
5469144,"Biological Monitoring, Inc.",11572
6096275,"Biological Technologies International, Inc.",19781
9939422,"Biologistex CCM, LLC",29674
9939423,"Biologistex CCM, LLC",29675
10018614,"Biologistex CCM, LLC",29676
8431698,BioLume Inc.,10353
6673315,"BioMachines, Inc.",21155
4677067,Bio-Magnetech Corporation,3228
6297062,Bio-Magnetics Ltd.,22242
7960605,"BioMaker Pharmaceuticals, Inc.",23023
8771974,Biomarin Pharmaceutical Inc.,25492
8809009,Biomarin Pharmaceutical Inc.,25493
9222120,Biomarin Pharmaceutical Inc.,25494
9340822,Biomarin Pharmaceutical Inc.,25495
9677116,Biomarin Pharmaceutical Inc.,25496
9796999,Biomarin Pharmaceutical Inc.,25497
7713709,Biomarin Pharmaceutical Inc.,27681
8592140,Biomarin Pharmaceutical Inc.,29319
6291439,Biomarin Pharmaceutical Inc.,22153
9915649,Biomarin Pharmaceutical Inc.,25498
8436224,"BioMarker Pharmaceuticals, Inc.",23024
8692051,"BioMarker Pharmaceuticals, Inc.",23025
9121801,"BioMarker Strategies, LLC",13
9766249,"BioMarker Strategies, LLC",21181
8519125,"Biomatrica, Inc.",4444
8900856,"Biomatrica, Inc.",4445
9078426,"Biomatrica, Inc.",4446
9376709,"Biomatrica, Inc.",4448
9845489,"Biomatrica, Inc.",4449
9999217,"Biomatrica, Inc.",4450
8011228,"Bio-Med Photonics, Co., Ltd.",20248
6787660,Biomedica GmbH,24874
6767635,Biomedical Apherese Systeme GmbH,8909
4787988,"Biomedical Research and Development Laboratories, Inc.",4280
5114681,"Biomedical Research and Development Laboratories, Inc.",7475
5380437,"Biomedical Research and Development Laboratories, Inc.",10401
3999553,"Bio-Medical Research, Ltd.",169
5511547,"Biomedical Sensors, Ltd.",12193
7081188,Biomedix Taiwan,25444
5695947,"Biomedix, Inc.",14854
6033866,"Biomedix, Inc.",19159
7081188,Biomedix Taiwan,25444
7393633,Biomedlab Corporation,9220
7301015,Biomedlab Corporation,17063
10082501,"BioMedomics, Inc",29505
6611765,Biomerieux,2026
7691635,Biomerieux,4102
8309695,Biomerieux,4103
9266902,Biomerieux,4104
7622249,Biomerieux,6230
7659059,Biomerieux,6231
8236506,Biomerieux,6235
8486632,Biomerieux,6236
9110079,Biomerieux,6238
9422598,Biomerieux,6239
9689041,Biomerieux,6240
9771621,Biomerieux,6241
7879594,Biomerieux,8424
8168387,Biomerieux,8788
8637322,Biomerieux,8792
7060441,Biomerieux,9835
10174068,Biomerieux,9842
9726670,Biomerieux,10013
9891223,Biomerieux,10014
8936791,Biomerieux,10183
7553621,Biomerieux,13403
8895257,Biomerieux,13739
9347943,Biomerieux,13740
7060804,Biomerieux,15264
7141658,Biomerieux,16055
9902987,Biomerieux,16755
7335472,Biomerieux,16885
8216802,Biomerieux,17485
8334112,Biomerieux,17486
8092661,Biomerieux,18729
9285384,Biomerieux,19310
7632635,Assistance Publique-Hopitaux de Paris,19681
8669071,Biomerieux,23253
8855397,Biomerieux,23932
6890720,Biomerieux,25304
8241856,Biomerieux,25305
8911667,Biomerieux,25583
7134445,Biomerieux,25646
7587977,Biomerieux,25647
7700294,Biomerieux,25905
9606046,Biomerieux,26207
7566530,Agence Francaise de Securite Sanit Aire des Aliments,27327
7695918,Agence Francaise de Securite Sanitaire des Aliments-AFSSA,27626
9784654,Biomerieux,27863
8008009,Biomerieux,28365
8445211,Biomerieux,29117
9382571,Biomerieux,29519
9562899,Biomerieux,29554
10046320,Biomerieux,30106
9400242,Biomerieux,30130
10144948,Biomerieux,30236
9273360,bioMerieux S. A.,14984
7169353,bioMerieux S. A.,1416
7491497,bioMerieux S. A.,1752
6582920,bioMerieux S. A.,11633
6946254,bioMerieux S. A.,11635
7374877,bioMerieux S. A.,11636
7741027,bioMerieux S. A.,11637
7326532,bioMerieux S. A.,14151
8367337,bioMerieux S. A.,14982
7294489,bioMerieux S. A.,15107
7879581,bioMerieux S. A.,15110
6537801,bioMerieux S. A.,15233
7863036,bioMerieux S. A.,15238
9777317,bioMerieux S. A.,16865
7510843,bioMerieux S. A.,17376
7537730,bioMerieux S. A.,19565
8158441,bioMerieux S. A.,22825
7396690,bioMerieux S. A.,23128
6686195,bioMerieux S. A.,24441
9394534,bioMerieux S. A.,27218
7829271,bioMerieux S. A.,11679
6893876,bioMerieux S. A.,12719
8673153,bioMerieux S. A.,12954
7445903,bioMerieux S. A.,16449
8216827,bioMerieux S. A.,16782
7081345,Biomerieux Stelhys,17375
5670375,"bioMerieux Vitek, Inc.",14510
5766553,"bioMerieux Vitek, Inc.",15754
5798085,"bioMerieux Vitek, Inc.",16175
5800778,"bioMerieux Vitek, Inc.",16200
5843380,"bioMerieux Vitek, Inc.",16733
5853666,"bioMerieux Vitek, Inc.",16917
5856193,"bioMerieux Vitek, Inc.",16977
8841118,"Biomerieux, Inc",5881
9757723,"Biomerieux, Inc",639
9470510,"Biomerieux, Inc",5883
9856503,"Biomerieux, Inc",5885
6410275,"Biomerieux, Inc",5975
5888455,"Biomerieux, Inc",17469
5891396,"Biomerieux, Inc",17496
5925884,"Biomerieux, Inc",17804
6045758,"Biomerieux, Inc",19256
6225067,"Biomerieux, Inc",21258
9707554,"bioMerieux, S.A.",24773
7803395,Biomerix Corporation,14648
8337711,"Biomet Biologics, LLC",2697
9897589,"Biomet Biologics, LLC",2698
8048297,"Biomet Biologics, LLC",4894
8236258,"Biomet Biologics, LLC",4896
8512575,"Biomet Biologics, LLC",4897
8182769,"Biomet Biologics, LLC",12372
8420029,"Biomet Biologics, LLC",28668
8383033,Biomet Manufacturing Corp.,1384
8431226,Biomet Manufacturing Corp.,1613
7179391,Biomet Manufacturing Corp.,4892
7771590,Biomet Manufacturing Corp.,4893
8048320,Biomet Manufacturing Corp.,4895
8951465,"Biomet Manufacturing, LLC",1385
10208095,"Biomet Manufacturing, LLC",2699
5688453,"Biomet, Inc.",14763
5547849,"Biometric Imaging, Inc.",12673
5627041,"Biometric Imaging, Inc.",13832
5912134,"Biometric Imaging, Inc.",17672
6051395,"Biometric Imaging, Inc.",19333
4973493,"Bio-Metric Systems, Inc.",6115
5217492,"Bio-Metric Systems, Inc.",8603
5258041,"Bio-Metric Systems, Inc.",8972
6591852,"BioMicro Systems, Inc.",1838
6601613,"BioMicro Systems, Inc.",1839
6637463,"BioMicro Systems, Inc.",1840
7223363,"BioMicro Systems, Inc.",1848
7235400,"BioMicro Systems, Inc.",1849
6296020,"BioMicro Systems, Inc.",22219
6974528,"Biomics, Inc.",19453
8497023,"Biomimedica, Inc.",6132
5939208,"Biomimetics, Inc.",17878
4615697,"Biomimetics, Inc.",2845
5658744,Biomira USA Inc.,14363
6838248,"BioModa, Inc.",22477
6607886,Biomolex AS,17234
6406840,"bioMosaic Systems, Inc.",9779
8722327,"BioNano Genomics, Inc.",9623
9845238,"BioNano Genomics, Inc.",9626
10000803,"BioNano Genomics, Inc.",9627
10000804,"BioNano Genomics, Inc.",9628
7332327,BioNavis Ltd.,5811
7544504,BioNavis Ltd.,5812
7510882,BioNavis Ltd.,7783
9765383,Bioneer Corporation,11232
7332274,Bioneer Corporation,14641
9273306,Bioneer Corporation,14993
10144972,Bioneer Corporation,17578
8852920,Bioneer Corporation,17992
6653108,Bioneer Corporation,18136
9459272,"BioNex Solutions, Inc.",27926
9823264,"BioNex Solutions, Inc.",27927
6758803,"Bionex, Inc.",19428
6203757,"Bionike, Inc.",21013
9052306,Bionime Corporation,6875
8840776,Bionime Corporation,29629
8594943,Bionime GmbH,6874
7329488,"Bionix, Inc.",135
9959384,"BIONIZ, LLC",19100
6153378,Bionova Corporation,20443
6153392,Bionova Corporation,20453
8512961,"Bionovo, Inc.",22378
6475719,Bio-Orbit Oy,23309
5180765,"BioPak Technology, Ltd.",8160
5817032,BioPath Automation LLC.,16421
7156814,BioPath Automation LLC.,812
8329120,BioPath Automation LLC.,813
8383067,BioPath Automation LLC.,814
8796038,BioPath Automation LLC.,815
7015393,"Biophan Technologies, Inc.",25701
9110026,Biopico Systems Inc,29914
9149806,Biopico Systems Inc,29958
6828142,Bio-Pixel Ltd.,18560
6203758,Bio-Pixel Ltd.,21014
5580529,"Bio-Plas, Inc.",13119
7863008,Bioprocess Pty Ltd.,10085
7862890,"BioProcess Technologies, Ltd.",5807
7485454,BioProcessors Corp.,628
7632675,BioProcessors Corp.,9970
9372196,"BIOPROXIMITY, LLC",24695
6659338,Biopsytec GmbH,3233
8784626,"Bioptic, Inc.",18146
8488120,"Bioptix Diagnostics, Inc.",18051
8830481,Bioptix LLC,18052
5562608,"BioPulmonics, Inc.",12876
8043217,"Bioquantetics, Inc.",26129
9127305,"BIOQUEST, INC.",6290
9040309,Bio-Rad Haifa Ltd.,8880
8105845,Bio-Rad Haifa Ltd.,11058
9175421,Bio-Rad Haifa Ltd.,11061
8580531,Bio-Rad Innovations,4466
9523685,Bio-Rad Innovations,4717
8728723,Bio-Rad Innovations,5155
10139423,Bio-Rad Innovations,19433
9221054,Bio-Rad Innovations,23754
9624541,ARIANA PHARMACEUTICALS,24165
8580530,Bio-Rad Innovations,25404
9719994,Bio-Rad Innovations,26712
9012167,Bio-Rad Innovations,29807
6071745,Bio-Rad Laboratories,19554
6156179,Bio-Rad Laboratories,20472
9217174,Akonni Biosystems,29030
7586616,Bio-Rad Laboratories,9571
8530243,Bio-Rad Laboratories,9581
9354179,Bio-Rad Laboratories,9591
9383311,Bio-Rad Laboratories,9592
7034131,Bio-Rad Laboratories,25741
7348148,Bio-Rad Laboratories,25742
7683164,Bio-Rad Laboratories,25743
8389707,Bio-Rad Laboratories,29009
8901046,Bio-Rad Laboratories,29010
8741577,Bio-Rad Laboratories,29538
7465538,Bio-Rad Laboratories,614
7435603,Bio-Rad Laboratories,741
10190115,Bio-Rad Laboratories,1255
9669402,Bio-Rad Laboratories,1798
7575935,Bio-Rad Laboratories,1932
4493815,Bio-Rad Laboratories,2232
7049151,Bio-Rad Laboratories,3064
6423549,Bio-Rad Laboratories,3848
7267940,Bio-Rad Laboratories,3989
7271009,Bio-Rad Laboratories,4675
8715476,Bio-Rad Laboratories,4792
9205379,Bio-Rad Laboratories,4794
9945808,Bio-Rad Laboratories,4797
9945809,Bio-Rad Laboratories,4798
6995023,Bio-Rad Laboratories,5006
9933565,Bio-Rad Laboratories,5794
8491791,Bio-Rad Laboratories,6050
7329484,Bio-Rad Laboratories,6059
4994166,Bio-Rad Laboratories,6332
8906608,American National Red Cross,6575
6660486,Bio-Rad Laboratories,6581
6410321,Bio-Rad Laboratories,6937
6686460,Bio-Rad Laboratories,6938
7217567,Bio-Rad Laboratories,6939
9234875,Bio-Rad Laboratories,7187
7205156,Bio-Rad Laboratories,7541
7479631,Bio-Rad Laboratories,7544
5141719,Bio-Rad Laboratories,7836
5187107,Bio-Rad Laboratories,8247
9594054,Bio-Rad Laboratories,10522
8733152,Bio-Rad Laboratories,11570
8055450,Bio-Rad Laboratories,11750
5505831,Bio-Rad Laboratories,12125
7050933,Bio-Rad Laboratories,12601
7286957,Bio-Rad Laboratories,12602
7299153,Bio-Rad Laboratories,12603
7318000,Bio-Rad Laboratories,12604
7517496,Bio-Rad Laboratories,13798
7276381,Bio-Rad Laboratories,15198
7348184,Bio-Rad Laboratories,15199
7541003,Bio-Rad Laboratories,15200
7842498,Bio-Rad Laboratories,15201
8470610,Bio-Rad Laboratories,15205
8451450,Bio-Rad Laboratories,15716
5766435,Bio-Rad Laboratories,15749
7203619,Bio-Rad Laboratories,16161
5799773,Bio-Rad Laboratories,16189
5932080,Bio-Rad Laboratories,17829
5961834,Bio-Rad Laboratories,18113
6043506,Bio-Rad Laboratories,19241
9592540,Bio-Rad Laboratories,20467
9737829,Bio-Rad Laboratories,20468
9802822,Bio-Rad Laboratories,20469
9950279,Bio-Rad Laboratories,20470
10099157,Bio-Rad Laboratories,20471
8021894,Bio-Rad Laboratories,21240
7218810,Bio-Rad Laboratories,21368
7310462,Bio-Rad Laboratories,21369
7376304,Bio-Rad Laboratories,21370
9354144,Bio-Rad Laboratories,21585
9599543,Bio-Rad Laboratories,21586
9909959,Bio-Rad Laboratories,21587
6255047,Bio-Rad Laboratories,21603
9658220,Bio-Rad Laboratories,21703
9797902,Bio-Rad Laboratories,21704
10191039,Bio-Rad Laboratories,21705
6280618,Bio-Rad Laboratories,21994
7517497,Bio-Rad Laboratories,22726
6754414,Bio-Rad Laboratories,23035
7516934,Bio-Rad Laboratories,24605
9395370,Bio-Rad Laboratories,24783
7332268,Bio-Rad Laboratories,25593
